id,school_id,entity_type,preferred_name,first_name,last_name,primary_email,email_status,phone_status,city,state,country,latitude,longitude,assigned_staff_id,do_not_solicit,deceased,deceased_date,record_source,record_created_at,record_updated_at
1,1,individual,Claire Foster,Claire,Foster,claire.foster.0d5edt5@alumni.gcu.example,deliverable,missing,San Francisco,CA,United States,37.7783,-122.3557,,false,false,,crm_import,2023-02-06T13:00:00Z,2026-03-03T15:00:00Z
2,1,individual,Nikhil Robinson,Nikhil,Robinson,,missing,available,Boston,MA,United States,42.3696,-71.0907,,false,false,,crm_import,2023-02-13T13:00:00Z,2025-08-13T15:00:00Z
3,1,individual,Mohammed Campbell,Mohammed,Campbell,,missing,missing,Philadelphia,PA,United States,39.9838,-75.1479,,true,false,,crm_import,2023-02-27T13:00:00Z,2026-08-04T15:00:00Z
4,1,organization,Emmett Klein Charitable Trust,,,contact.0og5k7z@organizations.gcu.example,deliverable,available,,,,,,,false,false,,crm_import,2023-02-26T13:00:00Z,2026-04-16T15:00:00Z
5,1,individual,Kieran Bennett,Kieran,Bennett,kieran.bennett.1j2o93u@alumni.gcu.example,deliverable,missing,Millbrook,MA,United States,42.1795,-71.5945,,false,false,,online,2023-03-04T13:00:00Z,2025-01-09T15:00:00Z
6,1,individual,Hana Collins,Hana,Collins,hana.collins.0kfy1ns@alumni.gcu.example,deliverable,available,Cambridge,MA,United States,42.3772,-71.0995,,false,false,,crm_import,2024-06-26T13:00:00Z,2026-05-07T15:00:00Z
7,1,individual,Samir Freeman,Samir,Freeman,samir.freeman.1uybskz@alumni.gcu.example,deliverable,available,Chicago,IL,United States,41.8288,-87.5475,,false,false,,crm_import,2019-09-18T13:00:00Z,2025-05-06T15:00:00Z
8,1,individual,Jonah Kumar,Jonah,Kumar,,missing,available,,,,,,,false,false,,crm_import,2025-03-18T13:00:00Z,2026-04-22T15:00:00Z
9,1,individual,Imani Armstrong,Imani,Armstrong,imani.armstrong.0pqdr3x@alumni.gcu.example,deliverable,missing,San Francisco,CA,United States,37.7677,-122.4438,,false,false,,crm_import,2023-02-03T13:00:00Z,2025-01-02T15:00:00Z
10,1,individual,Mina Banks,Mina,Banks,,missing,missing,Hoboken,NJ,United States,40.7397,-74.0303,,false,true,2022-04-19,crm_import,2023-01-10T13:00:00Z,2026-04-22T15:00:00Z
11,1,individual,Orion Parker,Orion,Parker,orion.parker.0p3v19s@alumni.gcu.example,deliverable,available,,,,,,,false,false,,crm_import,2023-02-05T13:00:00Z,2026-02-05T15:00:00Z
12,1,individual,Mateo Atkinson,Mateo,Atkinson,mateo.atkinson.0elvrc5@alumni.gcu.example,deliverable,inactive,Millbrook,MA,United States,,,,false,false,,crm_import,2023-02-10T13:00:00Z,2026-06-06T15:00:00Z
13,1,individual,Dylan Lopez,Dylan,Lopez,dylan.lopez.1dbe6cw@alumni.gcu.example,deliverable,available,,,,,,,false,false,,crm_import,2023-03-04T13:00:00Z,2026-03-11T15:00:00Z
14,1,individual,Layla Young,Layla,Young,,missing,missing,,,,,,,false,true,2016-09-22,advancement_entry,2025-07-09T13:00:00Z,2026-08-17T15:00:00Z
15,1,individual,Maya Singh,Maya,Singh,,missing,missing,San Francisco,CA,United States,,,,false,true,2011-12-03,crm_import,2024-01-22T13:00:00Z,2026-08-20T15:00:00Z
